position,positional_rank,ttl_2023,ttl_2024,ttl_2025,expected_points_fraction,expected_points_decimal_50,formula
RB,88,18.8,23.8,19.8,104/5,20.8,(ttl_2023+ttl_2024+ttl_2025)/3
RB,89,18.5,22.0,19.7,301/15,20.066666666666666666666666666666666666666666666667,(ttl_2023+ttl_2024+ttl_2025)/3
RB,90,18.4,19.4,19.0,284/15,18.933333333333333333333333333333333333333333333333,(ttl_2023+ttl_2024+ttl_2025)/3
RB,91,18.4,18.9,17.7,55/3,18.333333333333333333333333333333333333333333333333,(ttl_2023+ttl_2024+ttl_2025)/3
RB,92,18.0,17.7,15.0,169/10,16.9,(ttl_2023+ttl_2024+ttl_2025)/3
RB,93,16.0,16.7,14.7,79/5,15.8,(ttl_2023+ttl_2024+ttl_2025)/3
RB,94,15.1,16.4,14.3,229/15,15.266666666666666666666666666666666666666666666667,(ttl_2023+ttl_2024+ttl_2025)/3
RB,95,13.7,16.3,12.7,427/30,14.233333333333333333333333333333333333333333333333,(ttl_2023+ttl_2024+ttl_2025)/3
RB,96,13.5,16.1,10.7,403/30,13.433333333333333333333333333333333333333333333333,(ttl_2023+ttl_2024+ttl_2025)/3
RB,97,13.3,16.0,10.6,133/10,13.3,(ttl_2023+ttl_2024+ttl_2025)/3
RB,98,12.8,15.7,10.6,391/30,13.033333333333333333333333333333333333333333333333,(ttl_2023+ttl_2024+ttl_2025)/3
RB,99,12.4,15.5,10.2,127/10,12.7,(ttl_2023+ttl_2024+ttl_2025)/3
RB,100,12.2,14.7,10.1,37/3,12.333333333333333333333333333333333333333333333333,(ttl_2023+ttl_2024+ttl_2025)/3
WR,1,306.7,318.9,289.5,9151/30,305.03333333333333333333333333333333333333333333333,(ttl_2023+ttl_2024+ttl_2025)/3
WR,2,299.2,259.1,289.0,8473/30,282.43333333333333333333333333333333333333333333333,(ttl_2023+ttl_2024+ttl_2025)/3
WR,3,247.5,248.0,246.1,1236/5,247.2,(ttl_2023+ttl_2024+ttl_2025)/3
WR,4,239.3,226.7,244.0,710/3,236.66666666666666666666666666666666666666666666667,(ttl_2023+ttl_2024+ttl_2025)/3
WR,5,237.2,212.9,231.5,1136/5,227.2,(ttl_2023+ttl_2024+ttl_2025)/3
WR,6,233.9,210.6,219.0,1327/6,221.16666666666666666666666666666666666666666666667,(ttl_2023+ttl_2024+ttl_2025)/3
WR,7,230.1,204.2,192.9,3136/15,209.06666666666666666666666666666666666666666666667,(ttl_2023+ttl_2024+ttl_2025)/3
WR,8,224.9,199.7,190.7,2051/10,205.1,(ttl_2023+ttl_2024+ttl_2025)/3
WR,9,209.5,195.1,181.7,5863/30,195.43333333333333333333333333333333333333333333333,(ttl_2023+ttl_2024+ttl_2025)/3
WR,10,208.8,194.3,181.3,974/5,194.8,(ttl_2023+ttl_2024+ttl_2025)/3
WR,11,208.1,190.0,177.0,1917/10,191.7,(ttl_2023+ttl_2024+ttl_2025)/3
WR,12,207.7,186.6,172.5,2834/15,188.93333333333333333333333333333333333333333333333,(ttl_2023+ttl_2024+ttl_2025)/3
WR,13,200.8,185.9,171.9,931/5,186.2,(ttl_2023+ttl_2024+ttl_2025)/3
WR,14,191.0,183.4,167.9,5423/30,180.76666666666666666666666666666666666666666666667,(ttl_2023+ttl_2024+ttl_2025)/3
WR,15,190.9,181.5,166.4,898/5,179.6,(ttl_2023+ttl_2024+ttl_2025)/3
WR,16,190.8,181.0,163.2,535/3,178.33333333333333333333333333333333333333333333333,(ttl_2023+ttl_2024+ttl_2025)/3
WR,17,190.4,180.5,162.9,2669/15,177.93333333333333333333333333333333333333333333333,(ttl_2023+ttl_2024+ttl_2025)/3
WR,18,187.1,178.3,162.5,5279/30,175.96666666666666666666666666666666666666666666667,(ttl_2023+ttl_2024+ttl_2025)/3
WR,19,177.3,176.8,162.1,2581/15,172.06666666666666666666666666666666666666666666667,(ttl_2023+ttl_2024+ttl_2025)/3
WR,20,177.0,174.7,162.0,5137/30,171.23333333333333333333333333333333333333333333333,(ttl_2023+ttl_2024+ttl_2025)/3
WR,21,174.7,171.5,160.3,1013/6,168.83333333333333333333333333333333333333333333333,(ttl_2023+ttl_2024+ttl_2025)/3
WR,22,173.0,169.9,157.7,2503/15,166.86666666666666666666666666666666666666666666667,(ttl_2023+ttl_2024+ttl_2025)/3
WR,23,172.6,167.1,156.6,4963/30,165.43333333333333333333333333333333333333333333333,(ttl_2023+ttl_2024+ttl_2025)/3
WR,24,172.3,165.4,152.1,2449/15,163.26666666666666666666666666666666666666666666667,(ttl_2023+ttl_2024+ttl_2025)/3
WR,25,172.0,165.4,149.1,973/6,162.16666666666666666666666666666666666666666666667,(ttl_2023+ttl_2024+ttl_2025)/3
WR,26,172.0,164.3,147.9,807/5,161.4,(ttl_2023+ttl_2024+ttl_2025)/3
WR,27,167.9,163.3,145.7,4769/30,158.96666666666666666666666666666666666666666666667,(ttl_2023+ttl_2024+ttl_2025)/3
WR,28,163.0,161.2,145.1,4693/30,156.43333333333333333333333333333333333333333333333,(ttl_2023+ttl_2024+ttl_2025)/3
WR,29,162.6,158.4,144.6,776/5,155.2,(ttl_2023+ttl_2024+ttl_2025)/3
WR,30,161.3,157.7,143.6,771/5,154.2,(ttl_2023+ttl_2024+ttl_2025)/3
WR,31,161.1,151.7,140.3,4531/30,151.03333333333333333333333333333333333333333333333,(ttl_2023+ttl_2024+ttl_2025)/3
