position,positional_rank,ttl_2023,ttl_2024,ttl_2025,expected_points_fraction,expected_points_decimal_50,formula
RB,65,40.7,44.0,45.6,1303/30,43.433333333333333333333333333333333333333333333333,(ttl_2023+ttl_2024+ttl_2025)/3
RB,66,38.5,43.2,44.0,419/10,41.9,(ttl_2023+ttl_2024+ttl_2025)/3
RB,67,38.4,40.3,44.0,409/10,40.9,(ttl_2023+ttl_2024+ttl_2025)/3
RB,68,37.9,40.2,42.7,604/15,40.266666666666666666666666666666666666666666666667,(ttl_2023+ttl_2024+ttl_2025)/3
RB,69,36.9,37.9,39.6,572/15,38.133333333333333333333333333333333333333333333333,(ttl_2023+ttl_2024+ttl_2025)/3
RB,70,34.9,37.3,35.2,179/5,35.8,(ttl_2023+ttl_2024+ttl_2025)/3
RB,71,33.8,36.8,34.7,351/10,35.1,(ttl_2023+ttl_2024+ttl_2025)/3
RB,72,32.7,36.2,30.8,997/30,33.233333333333333333333333333333333333333333333333,(ttl_2023+ttl_2024+ttl_2025)/3
RB,73,31.5,31.4,30.6,187/6,31.166666666666666666666666666666666666666666666667,(ttl_2023+ttl_2024+ttl_2025)/3
RB,74,30.8,31.0,30.0,153/5,30.6,(ttl_2023+ttl_2024+ttl_2025)/3
RB,75,30.4,30.8,29.3,181/6,30.166666666666666666666666666666666666666666666667,(ttl_2023+ttl_2024+ttl_2025)/3
RB,76,30.3,30.2,29.0,179/6,29.833333333333333333333333333333333333333333333333,(ttl_2023+ttl_2024+ttl_2025)/3
RB,77,29.9,29.9,28.9,887/30,29.566666666666666666666666666666666666666666666667,(ttl_2023+ttl_2024+ttl_2025)/3
RB,78,29.8,28.2,28.4,144/5,28.8,(ttl_2023+ttl_2024+ttl_2025)/3
RB,79,29.8,27.3,25.9,83/3,27.666666666666666666666666666666666666666666666667,(ttl_2023+ttl_2024+ttl_2025)/3
RB,80,28.7,26.8,24.4,799/30,26.633333333333333333333333333333333333333333333333,(ttl_2023+ttl_2024+ttl_2025)/3
RB,81,27.1,26.6,23.4,257/10,25.7,(ttl_2023+ttl_2024+ttl_2025)/3
RB,82,27.0,26.3,23.1,382/15,25.466666666666666666666666666666666666666666666667,(ttl_2023+ttl_2024+ttl_2025)/3
RB,83,26.5,25.6,22.7,374/15,24.933333333333333333333333333333333333333333333333,(ttl_2023+ttl_2024+ttl_2025)/3
RB,84,24.5,25.6,22.3,362/15,24.133333333333333333333333333333333333333333333333,(ttl_2023+ttl_2024+ttl_2025)/3
RB,85,23.9,25.4,22.2,143/6,23.833333333333333333333333333333333333333333333333,(ttl_2023+ttl_2024+ttl_2025)/3
RB,86,21.1,24.2,20.1,109/5,21.8,(ttl_2023+ttl_2024+ttl_2025)/3
RB,87,20.7,24.0,19.8,43/2,21.5,(ttl_2023+ttl_2024+ttl_2025)/3
